level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3252	2452	-1	
2	1	1	0	0	0	609	1441	22	369	-1	
3	1	1	1	0	0	609	1441	22	369	-1	
4	1	1	1	1	0	609	1441	22	369	-1	
5	1	1	1	1	1	609	1727	10	83	0	Fl
5	1	1	1	1	2	617	1632	10	91	25	tee
5	1	1	1	1	3	613	1441	18	188	26	eT
2	1	2	0	0	0	874	420	550	31	-1	
3	1	2	1	0	0	874	420	550	31	-1	
4	1	2	1	1	0	1293	420	6	8	-1	
5	1	2	1	1	1	1293	420	6	8	0	‘
4	1	2	1	2	0	874	423	550	28	-1	
5	1	2	1	2	1	874	423	5	18	11	1
5	1	2	1	2	2	0	0	3252	2452	5	pe
5	1	2	1	2	3	882	423	263	18	19	re
5	1	2	1	2	4	0	0	3252	2452	32	me
5	1	2	1	2	5	1148	431	105	14	19	ee
5	1	2	1	2	6	0	0	3252	2452	18	mine
5	1	2	1	2	7	1257	435	119	14	19	eer
5	1	2	1	2	8	1380	441	44	10	0	eas
2	1	3	0	0	0	1426	435	1466	113	-1	
3	1	3	1	0	0	1426	435	1466	113	-1	
4	1	3	1	1	0	1426	435	1148	45	-1	
5	1	3	1	1	1	1426	437	642	29	13	re
5	1	3	1	1	2	1927	435	3	1	23	nae
5	1	3	1	1	3	0	0	3252	2452	15	nee
5	1	3	1	1	4	2070	443	504	37	6	a
4	1	3	1	2	0	2321	476	571	72	-1	
5	1	3	1	2	1	2321	519	39	7	0	:
5	1	3	1	2	2	2585	476	307	72	0	oN
2	1	4	0	0	0	1025	480	1745	207	-1	
3	1	4	1	0	0	849	480	1921	207	-1	
4	1	4	1	1	0	1095	480	162	54	-1	
5	1	4	1	1	1	1095	480	103	49	16	Bm
5	1	4	1	1	2	1220	502	37	32	67	a
4	1	4	1	2	0	1025	523	1745	164	-1	
5	1	4	1	2	1	852	558	5	75	0	—
5	1	4	1	2	2	1025	523	297	112	0	J@N.
5	1	4	1	2	3	0	0	3252	2452	0	RR
5	1	4	1	2	4	1418	592	1352	95	0	NS-eF
5	1	4	1	2	5	0	0	3252	2452	22	nD
4	1	4	1	3	0	1083	628	189	43	-1	
5	1	4	1	3	1	1083	628	189	43	5	SATUS
2	1	5	0	0	0	987	706	1614	73	-1	
3	1	5	1	0	0	987	706	1614	73	-1	
4	1	5	1	1	0	987	706	1614	73	-1	
5	1	5	1	1	1	987	712	100	39	56	wit:
5	1	5	1	1	2	1129	711	98	45	90	S/O
5	1	5	1	1	3	1263	706	212	57	0	wfreax
5	1	5	1	1	4	1489	727	189	47	23	aa,
5	1	5	1	1	5	1704	725	128	52	41	423,
5	1	5	1	1	6	1844	727	42	44	41	a
5	1	5	1	1	7	1896	727	262	47	82	Address:
5	1	5	1	1	8	2182	732	99	43	93	S/O
5	1	5	1	1	9	2302	733	299	46	93	Laliteshwar
2	1	6	0	0	0	982	774	1840	172	-1	
3	1	6	1	0	0	982	774	1840	172	-1	
4	1	6	1	1	0	984	774	1601	88	-1	
5	1	6	1	1	1	984	788	45	38	58	&
5	1	6	1	1	2	1042	774	90	62	51	aa,
5	1	6	1	1	3	1153	778	218	71	28	Forge,
5	1	6	1	1	4	1391	800	132	48	30	cat,
5	1	6	1	1	5	1544	805	253	54	0	WTERYZ,
5	1	6	1	1	6	1933	805	234	55	96	Narayan,
5	1	6	1	1	7	2190	808	111	50	92	513,
5	1	6	1	1	8	2321	809	40	42	77	V
5	1	6	1	1	9	2382	809	38	43	77	C
5	1	6	1	1	10	2441	810	144	52	96	Lane,
4	1	6	1	2	0	982	849	1840	97	-1	
5	1	6	1	2	1	982	849	151	69	0	feterx,
5	1	6	1	2	2	1156	865	196	46	96	842002
5	1	6	1	2	3	1933	881	310	56	91	Mithanpura,
5	1	6	1	2	4	2268	884	205	52	92	Ramna,
5	1	6	1	2	5	2494	887	328	59	96	Muzaffarpur,
2	1	7	0	0	0	1935	957	370	51	-1	
3	1	7	1	0	0	1935	957	370	51	-1	
4	1	7	1	1	0	1935	957	370	51	-1	
5	1	7	1	1	1	1935	957	149	51	95	Bihar,
5	1	7	1	1	2	2108	959	197	46	96	842002
2	1	8	0	0	0	807	1458	2168	158	-1	
3	1	8	1	0	0	807	1458	2175	163	-1	
4	1	8	1	1	0	807	1458	2168	94	-1	
5	1	8	1	1	1	807	1458	2168	94	11	RR
4	1	8	1	2	0	1602	1503	1051	113	-1	
5	1	8	1	2	1	1602	1503	107	83	2	DS
5	1	8	1	2	2	2559	1536	94	80	0	X
5	1	8	1	2	3	2973	1555	9	66	82	|
2	1	9	0	0	0	1036	1499	1759	229	-1	
3	1	9	1	0	0	1036	1499	1954	235	-1	
4	1	9	1	1	0	1134	1499	99	80	-1	
5	1	9	1	1	1	1134	1499	99	80	59	“a
4	1	9	1	2	0	1137	1604	1653	75	-1	
5	1	9	1	2	1	1137	1604	93	35	96	1947
5	1	9	1	2	2	1472	1604	86	44	92	help
5	1	9	1	2	3	1565	1606	274	46	68	@uidai.gov.in
5	1	9	1	2	4	1958	1619	347	48	43	www.uldai.gov.in
5	1	9	1	2	5	2428	1630	82	39	93	P.O.
5	1	9	1	2	6	2524	1633	79	39	93	Box
5	1	9	1	2	7	2615	1635	175	44	90	No.1947,
4	1	9	1	3	0	1036	1648	1759	80	-1	
5	1	9	1	3	1	1036	1648	93	35	96	1800
5	1	9	1	3	2	1147	1650	67	34	96	180
5	1	9	1	3	3	1232	1651	92	34	96	1947
5	1	9	1	3	4	2424	1679	291	49	88	Bengaluru-560
5	1	9	1	3	5	2729	1686	66	36	96	001
2	1	10	0	0	0	790	1752	2204	204	-1	
3	1	10	1	0	0	790	1752	2204	204	-1	
4	1	10	1	1	0	790	1752	2204	75	-1	
5	1	10	1	1	1	790	1752	347	47	0	‘——emconemennnmantnten
5	1	10	1	1	2	1145	1765	1849	62	40	P|
4	1	10	1	2	0	886	1855	35	60	-1	
5	1	10	1	2	1	886	1855	35	60	0	f.
4	1	10	1	3	0	875	1919	16	37	-1	
5	1	10	1	3	1	875	1919	16	37	58	J
2	1	11	0	0	0	872	2362	843	90	-1	
3	1	11	1	0	0	872	2362	843	90	-1	
4	1	11	1	1	0	872	2362	843	90	-1	
5	1	11	1	1	1	872	2362	17	90	20	1
5	1	11	1	1	2	1633	2420	82	32	0	.3
2	1	12	0	0	0	858	1963	2264	38	-1	
3	1	12	1	0	0	858	1963	2264	38	-1	
4	1	12	1	1	0	858	1963	2264	38	-1	
5	1	12	1	1	1	858	1963	2264	38	95	 
2	1	13	0	0	0	2727	2328	442	124	-1	
3	1	13	1	0	0	2727	2328	442	124	-1	
4	1	13	1	1	0	2727	2328	442	124	-1	
5	1	13	1	1	1	2727	2328	442	124	95	 
